2021-01-24 00:35:53 [Thread-6] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=7, capacity=100, load=0, cargoType=STANDARD} left the Terminal{id=5}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.reader.impl.TruckReaderImpl - Lines were read
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=1, capacity=100, load=0, cargoType=STANDARD}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=2, capacity=150, load=40, cargoType=PERISHABLE}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=3, capacity=150, load=50, cargoType=STANDARD}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=4, capacity=150, load=0, cargoType=PERISHABLE}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=5, capacity=100, load=80, cargoType=STANDARD}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=6, capacity=50, load=0, cargoType=PERISHABLE}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=7, capacity=100, load=40, cargoType=STANDARD}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=8, capacity=150, load=140, cargoType=STANDARD}
2021-01-24 01:04:58 [main] INFO  epam.multithreading.parser.impl.TruckParserImpl - Truck parsed: Truck{id=9, capacity=100, load=0, cargoType=PERISHABLE}
2021-01-24 01:04:58 [Thread-8] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=9, capacity=100, load=0, cargoType=PERISHABLE} stays in the queue
2021-01-24 01:04:58 [Thread-8] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=9, capacity=100, load=0, cargoType=PERISHABLE} got Terminal{id=1}
