2021-01-24 02:05:13 [Thread-8] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=9, capacity=100, load=100, cargoType=PERISHABLE} left the Terminal{id=2}
2021-01-24 02:05:13 [Thread-4] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=5, capacity=100, load=80, cargoType=STANDARD} got Terminal{id=2}
2021-01-24 02:05:14 [Thread-0] INFO  edu.epam.multithreading.entity.Terminal - Truck{id=1, capacity=100, load=100, cargoType=STANDARD} was loaded on Terminal{id=4}
2021-01-24 02:05:14 [Thread-0] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=1, capacity=100, load=100, cargoType=STANDARD} left the Terminal{id=4}
2021-01-24 02:05:14 [Thread-6] INFO  edu.epam.multithreading.entity.Terminal - Truck{id=7, capacity=100, load=0, cargoType=STANDARD} was unloaded on Terminal{id=1}
2021-01-24 02:05:14 [Thread-6] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=7, capacity=100, load=0, cargoType=STANDARD} left the Terminal{id=1}
2021-01-24 02:05:14 [Thread-7] INFO  edu.epam.multithreading.entity.Terminal - Truck{id=8, capacity=150, load=0, cargoType=STANDARD} was unloaded on Terminal{id=3}
2021-01-24 02:05:14 [Thread-7] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=8, capacity=150, load=0, cargoType=STANDARD} left the Terminal{id=3}
2021-01-24 02:05:15 [Thread-4] INFO  edu.epam.multithreading.entity.Terminal - Truck{id=5, capacity=100, load=0, cargoType=STANDARD} was unloaded on Terminal{id=2}
2021-01-24 02:05:15 [Thread-4] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=5, capacity=100, load=0, cargoType=STANDARD} left the Terminal{id=2}
2021-01-24 02:05:16 [Thread-3] INFO  edu.epam.multithreading.entity.Terminal - Truck{id=4, capacity=150, load=150, cargoType=PERISHABLE} was loaded on Terminal{id=5}
2021-01-24 02:05:16 [Thread-3] INFO  edu.epam.multithreading.entity.LogisticCentre - Truck{id=4, capacity=150, load=150, cargoType=PERISHABLE} left the Terminal{id=5}
